SPECTRAL MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.5_2_623-624,06/12/2023,09:20:31

OSA_INST,OSA_SN,OS_CTRWL,OSA_SPAN,OSA_STARTWL,OSA_ENDWL,OSA_PTS,OSA_RES,OSA_AVE,OSA_SENSMODE
YOKOGAWA AQ6370,91G312892,623.500,1.0,623.000,624.000,501,0.020,1,SENS HIGH2
Data grabbed from OSA via LDCS WL menu

Wavelength (nm), Power (kW)
623.0000000000,0.0000000000
623.0020000000,0.0000000015
623.0040000000,0.0000001056
623.0060000000,0.0000001323
623.0080000000,0.0000000000
623.0100000000,0.0000000000
623.0120000000,0.0000000000
623.0140000000,0.0000000000
623.0160000000,0.0000000000
623.0180000000,0.0000001385
623.0200000000,0.0000000000
623.0220000000,0.0000002767
623.0240000000,0.0000002092
623.0260000000,0.0000000000
623.0280000000,0.0000000000
623.0300000000,0.0000000000
623.0320000000,0.0000000000
623.0340000000,0.0000000000
623.0360000000,0.0000001471
623.0380000000,0.0000000810
623.0400000000,0.0000000470
623.0420000000,0.0000003095
623.0440000000,0.0000000000
623.0460000000,0.0000000000
623.0480000000,0.0000000774
623.0500000000,0.0000000000
623.0520000000,0.0000000005
623.0540000000,0.0000000000
623.0560000000,0.0000000302
623.0580000000,0.0000000000
623.0600000000,0.0000000000
623.0620000000,0.0000000000
623.0640000000,0.0000000000
623.0660000000,0.0000000000
623.0680000000,0.0000000000
623.0700000000,0.0000000000
623.0720000000,0.0000000732
623.0740000000,0.0000000000
623.0760000000,0.0000000000
623.0780000000,0.0000000000
623.0800000000,0.0000000162
623.0820000000,0.0000000000
623.0840000000,0.0000000351
623.0860000000,0.0000000300
623.0880000000,0.0000000318
623.0900000000,0.0000000000
623.0920000000,0.0000000127
623.0940000000,0.0000000000
623.0960000000,0.0000001641
623.0980000000,0.0000001323
623.1000000000,0.0000000932
623.1020000000,0.0000001795
623.1040000000,0.0000000610
623.1060000000,0.0000002907
623.1080000000,0.0000000000
623.1100000000,0.0000000000
623.1120000000,0.0000000000
623.1140000000,0.0000000000
623.1160000000,0.0000000000
623.1180000000,0.0000000000
623.1200000000,0.0000000837
623.1220000000,0.0000000444
623.1240000000,0.0000000228
623.1260000000,0.0000000000
623.1280000000,0.0000000260
623.1300000000,0.0000000449
623.1320000000,0.0000002769
623.1340000000,0.0000003964
623.1360000000,0.0000000833
623.1380000000,0.0000002332
623.1400000000,0.0000003180
623.1420000000,0.0000000000
623.1440000000,0.0000000000
623.1460000000,0.0000000000
623.1480000000,0.0000000032
623.1500000000,0.0000000000
623.1520000000,0.0000002772
623.1540000000,0.0000000000
623.1560000000,0.0000000000
623.1580000000,0.0000000000
623.1600000000,0.0000000503
623.1620000000,0.0000000000
623.1640000000,0.0000000000
623.1660000000,0.0000000522
623.1680000000,0.0000001033
623.1700000000,0.0000000000
623.1720000000,0.0000000000
623.1740000000,0.0000000815
623.1760000000,0.0000003284
623.1780000000,0.0000000940
623.1800000000,0.0000000195
623.1820000000,0.0000000000
623.1840000000,0.0000000000
623.1860000000,0.0000001101
623.1880000000,0.0000000000
623.1900000000,0.0000000000
623.1920000000,0.0000000000
623.1940000000,0.0000000000
623.1960000000,0.0000000000
623.1980000000,0.0000000000
623.2000000000,0.0000002470
623.2020000000,0.0000000000
623.2040000000,0.0000001735
623.2060000000,0.0000000000
623.2080000000,0.0000000000
623.2100000000,0.0000000000
623.2120000000,0.0000000559
623.2140000000,0.0000000233
623.2160000000,0.0000000660
623.2180000000,0.0000000000
623.2200000000,0.0000000376
623.2220000000,0.0000001783
623.2240000000,0.0000000000
623.2260000000,0.0000001762
623.2280000000,0.0000001371
623.2300000000,0.0000000000
623.2320000000,0.0000000000
623.2340000000,0.0000001540
623.2360000000,0.0000002345
623.2380000000,0.0000001831
623.2400000000,0.0000000000
623.2420000000,0.0000004170
623.2440000000,0.0000002604
623.2460000000,0.0000000467
623.2480000000,0.0000002805
623.2500000000,0.0000002387
623.2520000000,0.0000003035
623.2540000000,0.0000003218
623.2560000000,0.0000001883
623.2580000000,0.0000002434
623.2600000000,0.0000001166
623.2620000000,0.0000005223
623.2640000000,0.0000003090
623.2660000000,0.0000006096
623.2680000000,0.0000003555
623.2700000000,0.0000004096
623.2720000000,0.0000003959
623.2740000000,0.0000004452
623.2760000000,0.0000006241
623.2780000000,0.0000008384
623.2800000000,0.0000005005
623.2820000000,0.0000006216
623.2840000000,0.0000006896
623.2860000000,0.0000008781
623.2880000000,0.0000006081
623.2900000000,0.0000003832
623.2920000000,0.0000005203
623.2940000000,0.0000002610
623.2960000000,0.0000006760
623.2980000000,0.0000005760
623.3000000000,0.0000011340
623.3020000000,0.0000005925
623.3040000000,0.0000007250
623.3060000000,0.0000008806
623.3080000000,0.0000006758
623.3100000000,0.0000006563
623.3120000000,0.0000010410
623.3140000000,0.0000009348
623.3160000000,0.0000009897
623.3180000000,0.0000005131
623.3200000000,0.0000006922
623.3220000000,0.0000008015
623.3240000000,0.0000010160
623.3260000000,0.0000008093
623.3280000000,0.0000008108
623.3300000000,0.0000007353
623.3320000000,0.0000007374
623.3340000000,0.0000009414
623.3360000000,0.0000008837
623.3380000000,0.0000007421
623.3400000000,0.0000008594
623.3420000000,0.0000006343
623.3440000000,0.0000007595
623.3460000000,0.0000006714
623.3480000000,0.0000002374
623.3500000000,0.0000006312
623.3520000000,0.0000004756
623.3540000000,0.0000008187
623.3560000000,0.0000004811
623.3580000000,0.0000005827
623.3600000000,0.0000004642
623.3620000000,0.0000002857
