PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
-0.0002000000,-0.0000000002,-0.0419000000
-0.0000600000,0.0000000023,-0.0428000000
0.0000000000,0.0000000003,-0.0416000000
-0.0001300000,0.0000000024,-0.0408000000
0.0000300000,0.0000000009,-0.0415000000
-0.0000700000,0.0000000021,-0.0412000000
-0.0000600000,0.0000000024,-0.0418000000
-0.0000300000,0.0000000024,-0.0428000000
-0.0001000000,0.0000000018,-0.0426000000
-0.0001300000,0.0000000007,-0.0426000000
-0.0001200000,0.0000000020,-0.0427000000
-0.0000700000,0.0000000028,-0.0436000000
-0.0001400000,-0.0000000004,-0.0431000000
-0.0002300000,0.0000000013,-0.0427000000
-0.0001100000,0.0000000025,-0.0423000000
0.0000300000,0.0000000017,-0.0422000000
